system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.opt	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.opt	128364	
amp	canonical	frame11	dry	primary	normal	/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.out	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.out	7868971	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry.xyz	12255	
amp	canonical	frame11	dry	primary		/data/Seafile/amp/frames/frame11/dry/amp_frame11_dry_trj.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame11/dry/amp_frame11_dry_trj.xyz	385950	
amp	canonical	frame12	initial	primary		/data/Seafile/amp/frames/frame12/frame12.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/initial/frame12.xyz	12024	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.bibtex	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.bibtex	4659	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.cpcm_corr	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.cpcm_corr	236882	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.densitiesinfo	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.densitiesinfo	1838	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.engrad	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.engrad	18324	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.inp	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.inp	586	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.opt	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.opt	130684	
amp	canonical	frame12	solvated	primary	normal	/data/Seafile/amp/frames/frame12/amp_frame12.out	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.out	7774458	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12.xyz	12247	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/amp_frame12_trj.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/amp_frame12_trj.xyz	370128	
amp	canonical	frame12	solvated	primary		/data/Seafile/amp/frames/frame12/frame12.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/solvated/frame12.xyz	12024	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12.xyz	12247	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.bibtex	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.bibtex	4334	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.densitiesinfo	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.densitiesinfo	1838	
amp	canonical	frame12	dry	primary		/data/Seafile/amp/frames/frame12/dry/amp_frame12_dry.engrad	data/primary_calculations/canonical_surface/amp/selected_frames/frame12/dry/amp_frame12_dry.engrad	18324	
